State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,15109,11567,175102,18691,4264,56,76,16,38457,34364,676,15941,36011,50004,31775,20077,20074,1440,135220,62907,38815,43516,784,32723,7400,927,1089,130,32,100.0,66.0,74.0,58.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,8315,3040,10810,3086,129049,136,400,59,354,18764,184,17382,28163,30589,18971,12213,8105,240,86255,39324,18329,27448,1411,22711,2058,163,192,26,3,93.0,63.0,68.0,56.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,8282,5067,12034,2886,254979,152,495,87,2333,29894,837,32860,67907,65475,38567,23284,14523,509,168608,67802,37096,42769,6655,37205,6333,1030,1223,158,35,97.0,71.0,75.0,68.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,30369,4978,43833,1649,426819,140,2409,53,1243,22798,256,46757,81735,91395,62033,40438,24940,598,314439,111516,52008,33051,1017,27914,3125,406,484,70,8,94.0,55.0,60.0,50.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,1924,1710,2995,589,134760,59,425,57,1144,11541,125,11155,28461,26794,17867,11645,7102,270,90273,33290,16924,23804,352,20289,1927,234,259,22,3,94.0,60.0,65.0,55.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,33106,21017,267146,107323,4322,106,114,24,42347,49507,880,32396,69738,87932,55803,37899,28550,3214,251975,107196,62060,83390,873,65413,12063,1108,1268,130,30,100.0,64.0,72.0,55.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,3852,2233,7553,1115,174112,108,635,70,32,14026,276,20670,29382,38350,31734,22729,15636,405,113715,43646,25165,32455,2313,28803,1594,189,240,43,8,94.0,71.0,74.0,67.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,19246,2475,17272,3359,289708,56,1004,38,5617,24550,288,51578,70679,52762,31328,9473,2484,298,216742,70424,29926,54960,2057,45070,6285,440,512,67,5,97.0,60.0,64.0,57.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,40889,2966,144935,14185,543394,2495,3111,303,115597,135941,5032,118135,163729,127722,94579,58836,61639,9397,545961,192428,86576,93999,59647,107279,12644,1672,2001,278,51,101.0,70.0,70.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,35766,2004,12456,1646,271596,34,284,45,107559,41677,510,67749,61526,34677,26748,13544,8039,2934,291097,72934,30362,57268,6500,42117,9912,1931,2507,429,147,101.0,47.0,45.0,50.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,5565,1249,7036,1050,132984,27,332,10,362,10940,179,25906,28921,21506,13858,3998,826,831,97082,30605,14495,22964,873,17672,3357,310,397,72,15,95.0,58.0,62.0,54.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,39725,7643,122936,106788,389956,209,3392,144,16950,51301,1630,85733,129178,90963,70941,29404,10856,3547,427629,143604,70599,113504,6163,92589,12008,1212,1437,188,37,98.0,56.0,60.0,52.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,37184,2475,6498,1533,366881,58,1313,38,5878,32873,149,80318,78208,45046,28417,12295,6450,541,278569,69988,33431,59459,3555,46341,7167,608,729,108,13,98.0,60.0,61.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,11434,3360,13249,5264,379134,105,1570,76,505,79804,4019,29332,68214,100103,78752,37701,31310,2058,235892,108094,56092,40704,38953,54536,7544,786,861,65,10,101.0,85.0,85.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,5823,980,1075,699,123446,9,151,45,194,23948,186,14491,31359,30454,16259,4956,4087,78,78778,29690,17189,19196,6021,17656,2478,234,263,26,3,98.0,80.0,81.0,79.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,5921,585,4000,4426,75210,16,108,2,46,14853,367,11367,18046,20399,9849,3473,2530,62,52147,20576,11167,11439,5233,12072,1550,141,154,12,1,96.0,78.0,80.0,77.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,3153,613,1668,522,63892,52,51549,122,2,9283,162,19890,21114,16629,10538,3763,2515,125,80723,25303,11831,19088,3249,17927,2141,219,241,21,1,95.0,53.0,60.0,46.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,10662,813,5231,1290,127124,74,27543,93,5,26394,482,22181,33313,34774,19918,8503,5509,116,100250,39690,21424,24286,7832,23345,2773,252,264,11,1,95.0,75.0,78.0,72.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,2553,262,2989,1782,69104,13,12328,25,19,12158,90,9328,19711,19949,10756,3180,1771,22,55914,20082,10318,13786,2921,12580,1406,124,141,15,2,93.0,70.0,74.0,66.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,957,313,933,514,54977,11,102,4,2,7400,168,8422,14151,12130,7269,3628,2204,69,37127,12784,6636,7767,2970,8059,902,80,87,6,1,98.0,75.0,76.0,73.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,1284,926,991,335,63444,6,60,9,35,12315,131,8771,14985,16237,9062,2915,2128,35,39568,15894,9404,9272,3113,8522,1193,123,130,7,0,98.0,84.0,84.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,8990,5073,108900,31212,234239,566,1270,2148,157,71413,3303,34539,61815,80076,44343,26712,27532,2939,243392,98601,36618,36263,33254,60448,3198,463,570,86,21,92.0,73.0,76.0,70.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,2198,2072,25496,4384,234955,998,1519,80,335,50724,1928,21654,46756,57726,30518,19855,23439,1770,173701,68485,25557,30993,19010,37269,1116,256,288,28,4,93.0,74.0,77.0,70.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,9166,3798,9840,2057,181847,78,442,66,6,40154,537,20259,43483,54035,27425,13077,10299,870,111243,52853,30363,31404,8870,32371,1393,76,91,13,2,93.0,82.0,83.0,81.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,10836,1608,8102,3444,236494,84,1256,314,1,14398,178,37431,46055,30500,7628,3565,1772,107,168773,53600,27437,36498,3623,33129,3305,370,418,44,4,90.0,48.0,51.0,44.0
